username,text,date
zzgjnglng1,Poster: Montana's #tiktokban  violates constitution--U.S. civil society groups https://t.co/E2nAej3QTD,2023-04-21 01:31:43+00:00
aivilledotcom,"🚀💥 Snapchat CEO says ""We'd love"" a TikTok ban! Is Snap poised to take over? #SnapPartnerSummit #TikTokBan 😱 #Aiville https://t.co/xWsMlVUpO0",2023-04-21 01:02:02+00:00
Coachjv2_,"https://t.co/bCHcTZYBDP

🚨The biggest trojan horse I have ever seen! 

#tiktokban",2023-04-21 00:40:08+00:00
Superstone2010,"Ban TikTok @tiktok_us Searching for batman, basketball, weightlifting or motivational speeches can lead to depressi… https://t.co/B0Qqpg0MPE",2023-04-20 23:45:57+00:00
themrthedubey,"Let's make the TIK TOK Content Better ? 

Please fill this form for we can send this data To TIK regarding users pr… https://t.co/CP4CuLn5G1",2023-04-20 23:19:34+00:00
EricJayWest,Capitalism 101!!! These platform's mission is to remove / #ban people who're showing how the majoriry should be liv… https://t.co/qUa5adMUpw,2023-04-20 22:54:05+00:00
MyFluenceApp,Hey creators! 📣 Worried about a possible TikTok ban? 😟 MyFluence💟 has a message for you! ✨ #TikTokBan… https://t.co/BULYP83EuR,2023-04-20 22:21:26+00:00
VoteSmart,"On April 14 the Montana House passed a consecutive vote on SB 419, passing a ban on TikTok in the state. Click here… https://t.co/WuVoMa3eow",2023-04-20 21:30:00+00:00
bigbubbajake1,"How I Got Banned On TikTok For Streaming COD...
#tiktokban #BANNED #COD #CallofDuty #CallofDutyModernWarfare2… https://t.co/D2FfcTE2sG",2023-04-20 21:23:23+00:00
BulldogReporter,"Navigating a potential TikTok ban—what brand marketers need to know (Stephen Glasco, @HavasFormula)… https://t.co/6aleHWxcth",2023-04-20 21:02:00+00:00
WhiteCrkLumber,"Rednek6966 @rednek6966
Check out Candace Owens's video! #tiktokban 
https://t.co/Qk5lCtkE4y",2023-04-20 20:38:33+00:00
RolandAgnis,"@vonderleyen TikTok must be obliged to accept only those users who are +18 other social media as well.
#tiktokban",2023-04-20 19:52:02+00:00
IDoSpicyArt,@TikTokSupport @tiktokcreators unban my account bro. HOW YALL GON BELIEVE ONE PERSON SAYING IM UNDER 13 WHEN THEY W… https://t.co/6k6tDOKw0j,2023-04-20 19:32:51+00:00
IndiaWest,"Free Speech Vs National Security In Proposed TikTok Ban

#IndiaWest #News #TikTok #TikTokBan #NationalSecurity… https://t.co/G3SKqlmsaw",2023-04-20 19:03:05+00:00
LiquidzSFX,"@tiktok_us Please can you help me with my account? I have been banned for a few months now due to being ""underage"".… https://t.co/Ag1wjfeWbk",2023-04-20 18:50:03+00:00
MissyNateUGC,So now that TikTok is being banned what do we do? Well that’s easy … join Clapper! 👏 Higher video views and none of… https://t.co/lzcbkf5yWE,2023-04-20 18:39:01+00:00
authorlmfox,Poor Huggie 😂 Mr. Second Best by LM Fox #reading #bookclapper #tiktokban #smutbook #clapforbooks https://t.co/f4ROFU8UFm via @theclapperapp,2023-04-20 17:53:47+00:00
drericcole,"Cyber- News of the day-

#cybersecurityawarenss #tiktokban https://t.co/YbtZkGp5ft",2023-04-20 17:02:17+00:00
SecureAnchor,"Cyber- News of the day-

#cybersecurityawarenss #tiktokban https://t.co/s8iOWDj1z2",2023-04-20 17:00:12+00:00
R1chDW,"With TikTok's uncertain future

Can another app can replicate its algorithmic magic🔮 
Who will take the crown?… https://t.co/aJErmp3wyU",2023-04-20 14:56:00+00:00
TrendsHu,A new internal document from Discord has revealed that the company had considered banning its users who were also f… https://t.co/SEuQZGQZ6M,2023-04-20 13:47:00+00:00
meifongwriter,Despite proposed US #TikTokBan long line @journalismfestival to hear @corrine_podger TikTok by journos keen to unde… https://t.co/WgGi8nhYwi,2023-04-20 13:30:38+00:00
meaningless1111,@GovGianforte And more government overreach. #tiktokban,2023-04-20 12:05:38+00:00
NOLIMITSOULJA13,Clutch against bots... #cod #mw2 Warzone2 #skrillex #edm #kick #kickstreaming #fbgg #twitch #tiktokban https://t.co/zNxDofmjsm,2023-04-20 11:54:31+00:00
marvbuzzilan,"GOPs want all lawmakers to stop using TikTok for official comms. Some Dems believe a better alternative, instead of… https://t.co/txLkZZZdkT",2023-04-20 10:53:46+00:00
dawidpwiktor,"I think it's good time to remember simple rule: competition is good for consumers.

Snap CEO Evan Spiegel would be… https://t.co/Y2pW6UhoOF",2023-04-20 09:57:47+00:00
Keystone_edu,TikTok has been banned by over 30 universities and colleges in the US. But what impact is this having on student re… https://t.co/UkJvMfVeBP,2023-04-20 09:44:59+00:00
tmcgav,"3. Jio's rapid expansion of 4G &amp; 5G, India's #TikTokban in 2020, @GoI_MeitY's recently gained mandate to define and… https://t.co/6K0B8WDgPZ",2023-04-20 06:11:29+00:00
niccastle_,Gonna post 3-7 videos a day every day for the next 10 days  #tiktok #Lemon8 #tiktokban,2023-04-20 05:27:11+00:00
AeroNYCLimited,Jersey Eating Right Now! 🤣🥪 #TikTok #FYP #fyptiktok #fypシ #Shorts #Dancehall #TikTokviral #tiktokdance #Jersey… https://t.co/gtlcANCZgM,2023-04-20 03:39:39+00:00
RestrictAct,"Meta-funded lobbying is behind the #TikTokBan, not “Chinese spying”!",2023-04-20 02:57:11+00:00
sadblindtruth,"TikTok as turned into a grifter app, people like this asking for money and potentially reaching children. #tiktokban https://t.co/ShCObP8tSa",2023-04-20 02:29:15+00:00
